date,covid_in_pop,covid_in_pop_lo,covid_in_pop_up
2021-01-20,25696.0,24396.110022797537,27059.66532298381
2021-01-21,25064.0,23775.813203404527,26417.09029505795
2021-01-22,24592.0,23304.674691469092,25944.50069426174
2021-01-23,24314.0,23013.997876356032,25681.24946871443
2021-01-24,23925.0,22614.09837929552,25306.027410242794
2021-01-25,22940.0,21652.331749416597,24299.135728371617
2021-01-26,21790.0,20523.560053321587,23128.143627161317
2021-01-27,20792.0,19548.867931579334,22107.696297367933
2021-01-28,19653.0,18437.44169382495,20944.458995282537
2021-01-29,18538.0,17350.190923916423,19801.939834166038
2021-01-30,17650.0,16485.46170211578,18891.93740704777
2021-01-31,16757.0,15613.232750773044,17979.628629725423
2021-02-01,15757.0,14644.129987940825,16949.959201469628
2021-02-02,14870.0,13784.099717823148,16036.855059894497
2021-02-03,14100.0,13045.93491354688,15235.151809035278
2021-02-04,13662.0,12624.959367488009,14779.873871750586
2021-02-05,12662.0,11662.70998160025,13743.313232537646
2021-02-06,11839.0,10865.411843329632,12896.351444640452
2021-02-07,11676.0,10690.196457417185,12750.51248734848
2021-02-08,11255.0,10275.155970003205,12325.933173068424
2021-02-09,10756.0,9806.915816948382,11795.041326115075
2021-02-10,10511.0,9575.938447989563,11535.208666472217
2021-02-11,10241.0,9312.859994974115,11258.889723946586
2021-02-12,10324.0,9382.001067343805,11358.282066116524
2021-02-13,10423.0,9461.083185942482,11478.71769372168
2021-02-14,10855.0,9846.898698996034,11964.04220423103
2021-02-15,10738.0,9716.709827082643,11864.195117647378
2021-02-16,10851.0,9805.05723236484,12004.58888141909
2021-02-17,10986.0,9913.149292677514,12171.307603362004
2021-02-18,11284.0,10180.974591018083,12503.402187045784
2021-02-19,8138.0,7355.9792187686335,8999.783436272399
2021-02-20,8160.0,7365.801240843244,9037.279718418466
2021-02-21,7982.0,7195.553373700977,8852.224181256264
2021-02-22,8110.0,7310.839198300969,8993.60844312212
2021-02-23,7961.0,7148.965299575691,8861.508976876668
2021-02-24,7856.0,7036.562204816935,8767.70834258019
2021-02-25,7589.0,6778.283668458893,8493.638649178929
2021-02-26,7198.0,6406.88679104185,8084.266972415737
2021-02-27,6741.0,5969.786198966481,7608.657591701981
2021-02-28,6595.0,5830.443836449274,7456.601627010605
2021-03-01,6074.0,5338.274285002491,6909.419169443897
2021-03-02,5900.0,5172.820743260855,6727.1992510306
2021-03-03,5487.0,4783.583202932445,6290.396273267055
2021-03-04,4924.0,4251.872975344979,5699.302392475204
2021-03-05,4555.0,3904.9707536270894,5310.844372665675
2021-03-06,4401.0,3761.789642959959,5146.88975259581
2021-03-07,4225.0,3589.755367450705,4970.557873290261
2021-03-08,3885.0,3276.1529159651836,4604.200954137146
2021-03-09,3900.0,3284.9883110525207,4628.537857894943
2021-03-10,3569.0,2975.405720778758,4279.749544771748
2021-03-11,3398.0,2815.678119305835,4098.053289551343
2021-03-12,3177.0,2610.1424910496676,3864.1361600579253
2021-03-13,3340.0,2759.959546739059,4038.8420313074125
2021-03-14,3226.0,2653.4723941282873,3920.340453293671
2021-03-15,3028.0,2480.303184460321,3694.9527848856096
2021-03-16,2967.0,2422.3543109476113,3632.1667982195295
2021-03-17,3035.0,2483.524750873642,3707.59677825848
2021-03-18,3310.0,2730.5518065753745,4010.8430959920074
2021-03-19,3435.0,2838.793999016157,4154.1696792347775
2021-03-20,3379.0,2784.2519436335197,4097.605966665108
2021-03-21,3245.0,2660.380514361345,3954.8988467438485
2021-03-22,3076.0,2508.3963555281753,3769.848111762972
2021-03-23,3220.0,2634.7675888434187,3933.711211849526
2021-03-24,3189.0,2606.2441266318365,3899.6635696528265
2021-03-25,3035.0,2466.4112341851696,3732.809537168964
2021-03-26,3079.0,2502.0377445200156,3786.692853163122
2021-03-27,2839.0,2283.3260680292187,3526.796701188283
2021-03-28,2780.0,2226.623351351817,3468.3375596984447
2021-03-29,2589.0,2058.149135245971,3255.126923067481
2021-03-30,2441.0,1927.4304399939708,3089.330111010311
2021-03-31,2295.0,1795.57046915164,2931.454604759176
2021-04-01,1845.0,1400.3707515685207,2428.130541695487
2021-04-02,1658.0,1236.3994020082855,2223.064293955357
2021-04-03,1529.0,1123.5059212075487,2078.6320826030596
2021-04-04,1562.0,1147.9416358206586,2123.713272671525
