date,region,covid_in_pop,covid_in_pop_lolim,covid_in_pop_uplim,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2020-07-09,North West,326.0103958182214,165.3379477515946,641.247433179064,4.470738316395875,2.2673592856206666,8.793736354967827
2020-07-10,South West,160.5547830530244,77.8193405255359,330.6272914908046,2.8671853766834396,1.389696843253045,5.904338178338879
2020-07-10,England,1707.3024198547541,1318.3472815506616,2210.496155482487,3.0499973039990587,2.3551513824985273,3.9489238908801143
2020-07-10,South East,223.69940022890637,124.9723408088136,400.01162374858995,2.4491852931219134,1.368266606181156,4.379549453241073
2020-07-10,London,286.2395702326572,150.6765627839924,543.011659654469,3.2132573809404876,1.6914592804442663,6.095719826239445
2020-07-10,East of England,128.06914707236427,54.72592196039037,299.1570215358135,2.0652270196184856,0.8825033607998429,4.824168647232841
2020-07-10,North West,322.6303650175547,163.62002476997748,634.6550601775689,4.42438631840755,2.2438005764597007,8.703331953906359
2020-07-10,Yorkshire and The Humber,268.0196003876382,129.94873776120093,551.1661751049584,4.891212254649974,2.3714939418408214,10.058483581509984
2020-07-10,Scotland,84.61573366014764,19.47930877421589,339.807991370496,1.5559797293199396,0.35820063577749384,6.24865286350924
2020-07-10,Northern Ireland,0.0,0.0,620.977719754387,0.0,0.0,33.00195838598089
2020-07-10,East Midlands,203.98717422656102,93.56383255655417,443.40165375443337,4.246062606021608,1.9475630867517675,9.229556655183538
2020-07-10,West Midlands,183.75562792516965,71.50345827815417,470.5888226631482,3.1141026130235434,1.2117675457259833,7.975058499496729
2020-07-10,North East,0.0,0.0,163.09425003983912,0.0,0.0,6.136186379587832
2020-07-10,Wales,174.59892722043955,63.96319920637741,440.78746583523025,5.562900743044962,2.0379330735718026,14.043940362381887
2020-07-11,England,1706.2884882234205,1320.502610521421,2204.275667343206,3.048185973618428,2.35900175339568,3.9378113475874144
2020-07-11,London,249.92237092322125,126.7016551541431,492.30667580866833,2.8055691335004838,1.4223226658372672,5.5265177293366365
2020-07-11,East of England,126.03416529558778,53.856081867270866,294.41130204914435,2.0324111584536153,0.8684764284424125,4.747639769392644
2020-07-11,South West,157.11816190372576,76.1528737223533,323.56422522819565,2.8058142377045656,1.359937099208325,5.778206026324383
2020-07-11,Wales,151.59444433229058,62.65923661199166,384.5273370183689,4.829954344180331,1.9963874890674203,12.25143500520988
2020-07-11,South East,260.74087342912367,152.4652544814177,445.45887172871363,2.854735917328812,1.6692742966940037,4.877131168935812
2020-07-11,Scotland,99.4940956378948,28.86224603943103,359.4523959100195,1.8295745874091098,0.5307413625978012,6.609889408249564
2020-07-11,Yorkshire and The Humber,228.22849109852544,104.6800631861553,496.1540638907216,4.165046104489557,1.91035434398503,9.054542406550855
2020-07-11,East Midlands,164.63843153531406,70.36971445628862,384.0669358441252,3.427005106113779,1.4647696076097685,7.9944842644165535
2020-07-11,West Midlands,224.6070207586895,96.01212196859665,523.6440895590506,3.8064102751340125,1.627115333991836,8.874184948796412
2020-07-11,North East,0.0,9.702744366922171e-15,159.79612026034508,0.0,3.6505178946766696e-16,6.012098994372835
2020-07-11,Northern Ireland,0.0,0.0,622.6648550556669,0.0,0.0,33.09162145638281
2020-07-11,North West,355.59661663546296,187.2543484981589,673.7010854572289,4.876468479426455,2.567909494546475,9.238788993190694
2020-07-12,England,1725.4900181948938,1338.2731551903612,2224.232315245996,3.0824883994596757,2.390747806526369,3.973462748061354
