date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211229,55 - 74,391700,39623,39623,5499,55004.66642967673,14608166,192252.51647521337,2047851.6780988786,0.8845022495100711,0.08714156241481014,204025.04013785027,0.026813769777807837
20211229,75 - 119,83042,4308,4308,626,6339.598343917069,4931625,35122.61361601885,360829.7619918923,0.8845022495100711,0.08714156241481014,36049.37439314524,0.016838668795782323
20211230,0 - 17,30628,4813,4813,868,8889.965292614808,14044453,387420.75755331357,4169561.353289765,0.8708611648129627,0.08711962375865012,405810.4937057744,0.0021807898107530426
20211230,18 - 34,45917,12183,12182,2909,29066.99463375089,14704349,932031.2145353799,10341847.557323959,0.8708611648129627,0.08711962375865012,1037773.0642531846,0.0031226815957646273
20211230,35 - 54,178804,39686,39684,6884,67441.54114574926,17542141,677723.686154107,6993724.332927428,0.8708611648129627,0.08711962375865012,715346.4208300479,0.010192826519864365
20211230,55 - 74,391254,40852,40851,6277,62611.10281283527,14608166,222467.2476652043,2397271.7268056846,0.8708611648129627,0.08711962375865012,239815.38600410812,0.02678323890897735
20211230,75 - 119,82994,4572,4572,752,7601.822249577826,4931625,43067.582153567644,444482.18144631153,0.8708611648129627,0.08711962375865012,44408.15782633684,0.01682893569563785
20211231,0 - 17,30298,4458,4458,836,8717.378163379497,14044453,387176.3093257436,4428151.153393658,0.8560471175420707,0.08376027655657677,423714.2875895673,0.0021572929896237327
20211231,18 - 34,45236,11744,11743,2929,29667.92590742614,14704349,948649.050170586,10886828.925318863,0.8560471175420707,0.08376027655657677,1073431.3773532736,0.0030763687668185786
20211231,35 - 54,176920,38991,38991,7168,71231.01143196992,17542141,711055.745558824,7605052.403929565,0.8560471175420707,0.08376027655657677,765730.780666118,0.010085427998783045
20211231,55 - 74,389827,41709,41708,6903,69785.10604229043,14608166,245929.15026492166,2752144.6676927716,0.8560471175420707,0.08376027655657677,271557.42988715944,0.026685553819692356
20211231,75 - 119,82712,4746,4746,827,8378.22506399244,4931625,47800.28363578139,507480.40208042006,0.8560471175420707,0.08376027655657677,50173.97557382301,0.016771753732289053
20220101,0 - 17,30648,4402,4402,833,8946.182599736887,14044453,390839.36990932556,4499479.644868788,0.8647742133728178,0.08169007203087902,418643.4722975575,0.0021822138605184552
20220101,18 - 34,45363,11580,11579,2912,30547.420091106538,14704349,968711.9303422383,11392159.921328638,0.8647742133728178,0.08169007203087902,1084783.3450758776,0.0030850056673709255
20220101,35 - 54,178636,39240,39240,7332,75627.03992542237,17542141,731762.928980465,8079063.97296113,0.8647742133728178,0.08169007203087902,783573.5331339523,0.01018324958167877
20220101,55 - 74,392491,43046,43044,7457,78045.67692790611,14608166,268289.73936803115,3075707.3499202025,0.8647742133728178,0.08169007203087902,293598.2056132349,0.026867917574321103
20220101,75 - 119,83151,5058,5058,923,9693.6211241205,4931625,54682.300282644246,591543.4048425892,0.8647742133728178,0.08169007203087902,56464.552835907976,0.01686077104402707
20220102,0 - 17,31037,4356,4356,845,9103.9780731421,14044453,400742.01118330227,4621929.104221627,0.871687020046767,0.0819995455437862,429456.44687381724,0.0022099116284557325
20220102,18 - 34,45625,11713,11712,2967,31379.463223074352,14704349,990394.8087378375,11654244.261562407,0.871687020046767,0.0819995455437862,1100458.9775070993,0.003102823525203326
20220102,35 - 54,180269,39882,39882,7399,77007.17708467778,17542141,745152.0945796235,8272693.984998855,0.871687020046767,0.0819995455437862,796737.2147603987,0.010276339701066136
20220102,55 - 74,394678,44610,44608,7869,82993.81482424536,14608166,286647.7560257304,3295018.913849246,0.871687020046767,0.0819995455437862,312499.1413885206,0.027017628359371052
20220102,75 - 119,83395,5234,5234,982,10401.66983645709,4931625,58877.47404001351,648560.6161650094,0.871687020046767,0.0819995455437862,61383.20190285259,0.016910247636428156
20220103,0 - 17,31096,4226,4226,828,9622.575748777763,14044453,402271.1770325169,4918545.245311347,0.8713475048736451,0.07620373298357679,421976.35881868884,0.0022141125752637002
20220103,18 - 34,45651,11761,11759,2954,33589.766742529355,14704349,1014527.7215283017,12541836.29823978,0.8713475048736451,0.07620373298357679,1104108.48829372,0.003104591709568373
