date,age_group,imd,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211105,0 - 17,1,2320,320,320,54,282.8024011341596,4829017,150474.34974213623,508171.3122244057,2.1913249441083233,0.4060868566168053,96444.96108029495,0.0004804290396989698
20211105,0 - 17,2,6576,969,969,94,560.2399490913245,4042171,107595.37485511987,364924.54245776986,2.1913249441083233,0.4060868566168053,61885.217479876315,0.0016268485425282601
20211105,0 - 17,3,16715,2311,2311,260,1459.2454410782022,5173265,137461.50733577518,434177.79171094846,2.1913249441083233,0.4060868566168053,77943.70214205686,0.0032310349460157174
20211105,18 - 34,1,5551,875,875,49,308.4839894285811,5080285,90603.44192327764,334094.07770075207,2.1913249441083233,0.4060868566168053,55389.80083577119,0.001092655234893318
20211105,18 - 34,2,10299,1458,1458,79,462.9710659888948,4715008,64876.030489418685,217374.38501984964,2.1913249441083233,0.4060868566168053,38113.12297230521,0.002184301702139212
20211105,18 - 34,3,17904,2305,2305,131,759.4453525729658,4909056,66097.6164905919,218281.34944074706,2.1913249441083233,0.4060868566168053,37186.75820890068,0.003647137046307885
20211105,35 - 54,1,20341,3158,3158,254,1240.5458346168746,5174512,119145.1165277567,335892.2413106836,2.1913249441083233,0.4060868566168053,69528.97602312059,0.003930998710603048
20211105,35 - 54,2,42790,6489,6489,519,2476.9748738468893,5317627,117571.68413381804,310351.70892455906,2.1913249441083233,0.4060868566168053,65632.24401902397,0.008046822389009233
20211105,35 - 54,3,87179,13394,13393,1281,5764.6222247421065,7050002,182961.40397817115,463717.3118839929,2.1913249441083233,0.4060868566168053,102498.81164418806,0.012365812094805079
20211105,55 - 74,1,33187,2993,2993,182,1026.104757529758,3673492,35200.59705531656,114432.59293832432,2.1913249441083233,0.4060868566168053,20250.710207112163,0.00903418327847182
20211105,55 - 74,2,99506,8541,8540,506,2891.1944189443534,4474672,40312.62654250062,132904.79372386957,2.1913249441083233,0.4060868566168053,23078.89329716892,0.02223760758330443
20211105,55 - 74,3,239331,19745,19745,1252,6764.161270837249,6460002,60646.96832456753,182712.08410010094,2.1913249441083233,0.4060868566168053,33846.05972208187,0.0370481309448511
20211105,75 - 119,1,6277,328,328,11,89.99934463710264,1141072,3313.1556804323222,16730.916564950392,2.1913249441083233,0.4060868566168053,1936.8984567869697,0.005500967511252577
20211105,75 - 119,2,21133,1156,1156,49,363.043031638424,1508207,5557.011870758849,24172.521222327152,2.1913249441083233,0.4060868566168053,3121.0786568463423,0.014012002331244982
20211105,75 - 119,3,54637,2878,2878,101,807.448691913142,2282346,7514.563857945655,33821.8949779938,2.1913249441083233,0.4060868566168053,4252.406736873598,0.023938964556644786
20211106,0 - 17,1,2268,312,312,49,269.98381582939743,4829017,148020.52187281978,511415.0171042442,1.9268737610225783,0.34405118502964355,90325.31885783862,0.0004696608026022687
20211106,0 - 17,2,6527,935,935,89,557.1989651828541,4042171,104593.23202661678,356049.65198264347,1.9268737610225783,0.34405118502964355,57517.4875709411,0.0016147263438384967
20211106,0 - 17,3,16482,2211,2211,233,1382.0145565424637,5173265,128500.90152311751,427807.13254832535,1.9268737610225783,0.34405118502964355,72067.30081684838,0.003185995691309067
20211106,18 - 34,1,5515,854,854,55,340.191241859767,5080285,106352.87155514305,383896.4176058207,1.9268737610225783,0.34405118502964355,63240.183409703925,0.0010855690182735812
20211106,18 - 34,2,10183,1437,1437,73,440.306780849442,4715008,61880.10675378354,201877.50212999718,1.9268737610225783,0.34405118502964355,34373.462975000606,0.0021596994109023783
20211106,18 - 34,3,17730,2229,2229,126,764.2838857364158,4909056,66286.44038361774,223977.26231429356,1.9268737610225783,0.34405118502964355,36809.490237529484,0.003611692349812265
20211106,35 - 54,1,20207,3100,3100,242,1203.3629744472794,5174512,118053.4616897873,328860.44719909097,1.9268737610225783,0.34405118502964355,66258.01522065939,0.003905102548800737
20211106,35 - 54,2,42517,6370,6370,486,2412.5691471824734,5317627,113611.88879171951,301946.085007891,1.9268737610225783,0.34405118502964355,62000.47115840394,0.007995483699778115
20211106,35 - 54,3,86292,13098,13097,1187,5634.697395143749,7050002,177480.7356507669,463149.9323147733,1.9268737610225783,0.34405118502964355,97354.71202333797,0.012239996527660559
20211106,55 - 74,1,33149,2973,2973,167,1014.3091830568948,3673492,32437.40981184734,112472.9244241929,1.9268737610225783,0.34405118502964355,18294.390790617355,0.009023838897702785
20211106,55 - 74,2,99391,8506,8505,489,2850.107098189856,4474672,39998.49656866841,129502.07325776028,1.9268737610225783,0.34405118502964355,22053.22615441877,0.02221190737555736
20211106,55 - 74,3,238909,19849,19849,1206,6740.5984011459705,6460002,60702.177218146135,185086.98297021238,1.9268737610225783,0.34405118502964355,33178.67399140969,0.0369828058876762
20211106,75 - 119,1,6266,323,323,9,69.19491736480491,1141072,2726.1737460374707,11772.929855984905,1.9268737610225783,0.34405118502964355,1453.5549743434872,0.005491327453482339
20211106,75 - 119,2,21108,1106,1106,49,381.0659577749792,1508207,5737.344055194008,25804.85215871183,1.9268737610225783,0.34405118502964355,3206.5883439085524,0.013995426357257326
20211106,75 - 119,3,54523,2813,2813,91,782.0814034358086,2282346,7168.736563378432,33591.08749166494,1.9268737610225783,0.34405118502964355,3976.889022280169,0.023889015951130986
20211107,0 - 17,1,2270,323,323,46,248.95842384850485,4829017,147780.92480291586,472454.64602249046,1.9409877889007412,0.3426982428388235,87827.47558691738,0.0004700749655675265
20211107,0 - 17,2,6502,914,914,89,532.4986689663973,4042171,102554.42924966582,329406.363299322,1.9409877889007412,0.3426982428388235,57545.135257048525,0.0016085415485886172
20211107,0 - 17,3,16471,2165,2165,234,1371.4529236138312,5173265,131594.80143398544,431563.19513936475,1.9409877889007412,0.3426982428388235,73989.19556509898,0.0031838693745632595
20211107,18 - 34,1,5529,850,850,56,350.24020078339686,5080285,104924.54403884949,379191.1973737843,1.9409877889007412,0.3426982428388235,61061.71803105801,0.0010883247691812566
20211107,18 - 34,2,10167,1447,1447,81,507.4008807309361,4715008,65028.16953308871,229884.8467450921,1.9409877889007412,0.3426982428388235,36494.802877790804,0.0021563059914214357
20211107,18 - 34,3,17711,2225,2225,122,738.6870444253573,4909056,64565.47379259923,217906.18417256256,1.9409877889007412,0.3426982428388235,35696.471681248186,0.0036078219519190655
20211107,35 - 54,1,20201,3128,3128,226,1153.7538886734962,5174512,110260.40588412735,315111.02664496657,1.9409877889007412,0.3426982428388235,62519.66997320189,0.003903943019167798
20211107,35 - 54,2,42463,6356,6356,464,2252.823022246306,5317627,108200.18169933767,286911.3875301024,1.9409877889007412,0.3426982428388235,59979.72091510064,0.007985328794215917
20211107,35 - 54,3,86209,13096,13095,1143,5424.295360594138,7050002,170991.33244611393,444962.1063439953,1.9409877889007412,0.3426982428388235,94039.96232117171,0.01222822348135504
20211107,55 - 74,1,33156,2981,2981,175,1043.2355493855507,3673492,32786.88265682074,112254.36131088538,1.9409877889007412,0.3426982428388235,18547.977817831386,0.00902574444152866
20211107,55 - 74,2,99421,8570,8569,484,2818.6733914380015,4474672,39365.02080029596,127764.05003978133,1.9409877889007412,0.3426982428388235,21805.242681815573,0.022218611777578334
20211107,55 - 74,3,239042,20212,20212,1207,6682.426004460751,6460002,61026.61565971161,186029.7570187667,1.9409877889007412,0.3426982428388235,33661.69859371497,0.03700339411659625
20211107,75 - 119,1,6259,318,318,9,64.63736417475702,1141072,3160.1950188088013,11557.220086183368,1.9409877889007412,0.3426982428388235,1956.9517886403016,0.005485192871264916
20211107,75 - 119,2,21092,1105,1105,47,367.5673083460453,1508207,5444.210433971805,24944.253726873892,1.9409877889007412,0.3426982428388235,3070.5587531583706,0.013984817733905227
20211107,75 - 119,3,54507,2797,2797,98,763.5508224360818,2282346,7939.837876333578,32590.400561297516,1.9409877889007412,0.3426982428388235,4429.037371653501,0.023882005620532557
20211108,0 - 17,1,2251,332,332,44,245.43479149917923,4829017,138805.6193869226,443652.4170927575,1.9465524616805765,0.33532743203662435,80128.58848512599,0.000466140417397578
20211108,0 - 17,2,6467,918,918,90,542.4213682717882,4042171,98400.70579849623,312297.23422514426,1.9465524616805765,0.33532743203662435,54594.90597642398,0.0015998828352387863
20211108,0 - 17,3,16339,2140,2140,219,1272.2839440180023,5173265,122594.2331727538,403346.0735860912,1.9465524616805765,0.33532743203662435,69599.82314588514,0.003158353573613569
20211108,18 - 34,1,5528,859,859,58,364.2720780629605,5080285,115241.54084473183,409404.1132728486,1.9465524616805765,0.33532743203662435,67393.72689492487,0.0010881279298307082
20211108,18 - 34,2,10183,1453,1453,89,556.1116776557764,4715008,74428.69567385832,257747.43250265613,1.9465524616805765,0.33532743203662435,40969.811075513266,0.0021596994109023783
