,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
1897,2020-07-27,North West,271.0,131.1491694829905,556.7473901622897,3.7100581810548436,1.7985120250522106,7.634946374961066
910,2020-07-27,London,305.0,165.6202840201978,559.8333930603109,3.420671008359617,1.859213943162369,6.2845566072009325
2226,2020-07-27,Scotland,86.0,14.156114710314029,1596.1897311648386,1.579513965203764,0.26031361523903623,29.351974608132227
4529,2020-07-27,UK,1727.0,1324.3584525889821,2251.9990454453014,,,
2555,2020-07-27,Yorkshire and The Humber,239.0,109.59559823049555,519.0071419948081,4.359975535773188,2.0000601909166162,9.47159867973951
2884,2020-07-27,East Midlands,106.0,35.97441132680736,309.5990474075795,2.200770157643798,0.7488196416640567,6.444409767631677
3213,2020-07-27,West Midlands,94.0,25.71688080848904,340.3705526692352,1.5887098593591165,0.4358234173766017,5.7682523220196185
4200,2020-07-27,Northern Ireland,0.0,0.0,584.1528248273054,0.0,0.0,31.044893564988044
1239,2020-07-27,East of England,177.0,85.80187358285268,364.43823718802156,2.8545136821839066,1.383630263088045,5.876885351610532
1567,2020-07-28,South West,177.0,89.94792378184128,349.0912862809216,3.167692244498534,1.6062889365629138,6.234067974304527
3870,2020-07-28,North East,123.0,41.981662204693116,359.2963734683377,4.639436040156897,1.5794996068222469,13.518008835830637
1238,2020-07-28,East of England,225.0,118.3688580161744,426.0833478760673,3.6252225378820415,1.9088013736693235,6.870966682911883
580,2020-07-28,South East,173.0,91.09186724872278,328.4697261336655,1.8948515127173768,0.9973243618905174,3.5962690184200197
2883,2020-07-28,East Midlands,106.0,35.90445126862333,308.9860017866393,2.196482169134251,0.7473633991914767,6.431649013938562
2225,2020-07-28,Scotland,88.0,19.62085782974986,1513.1229946884785,1.6098103285705407,0.36080354958073335,27.824479040261828
251,2020-07-28,England,1620.0,1247.869494936674,2101.7909486518693,2.893496035148171,2.2292468815356754,3.754728308475767
2554,2020-07-28,Yorkshire and The Humber,156.0,60.6936276106435,399.46259440408323,2.8464862294506705,1.1076257658730313,7.289975562226237
4528,2020-07-28,UK,1779.0,1370.3455749952736,2308.07783805659,,,
909,2020-07-28,London,297.0,161.6145577865026,546.317675548443,3.337972170190718,1.8142466125588956,6.132832374878979
1896,2020-07-28,North West,268.0,129.97427707649916,551.7809758051683,3.6768487371440606,1.782400156943955,7.566839531601809
3212,2020-07-28,West Midlands,139.0,47.22434043215954,406.23231656942886,2.3519878995116814,0.8003098658724558,6.884410196343094
3541,2020-07-28,Wales,71.0,17.500594465812846,1102.7681019494423,2.2488017317433395,0.5575868735704467,35.1353217995184
4199,2020-07-28,Northern Ireland,0.0,4.5535099418257314e-14,631.4715024180317,0.0,2.4199700058436987e-15,33.55965211276082
1895,2020-07-29,North West,303.0,153.6493712377096,595.9939395062715,4.154792845465729,2.107068179707933,8.173153297774336
3211,2020-07-29,West Midlands,139.0,47.224590207839604,406.21925458269607,2.3519911677421366,0.8003140988154503,6.884188835139222
1237,2020-07-29,East of England,198.0,100.37338524619892,389.5629390870527,3.1920042425840562,1.6186086344738129,6.282043146504099
2882,2020-07-29,East Midlands,141.0,54.989380593275776,361.7808773846565,2.941416104122218,1.1446227124361832,7.530592356412269
4198,2020-07-29,Northern Ireland,0.0,4.4482126218253464e-14,616.8690841273678,0.0,2.364009579853174e-15,32.783604300685084
3869,2020-07-29,North East,126.0,42.89725518911106,367.03588092195434,4.740488735303533,1.6139474748424816,13.809196662562726
579,2020-07-29,South East,250.0,146.24326169913928,427.23089698648334,2.7381559894863083,1.601152463552415,4.677561176274298
250,2020-07-29,England,1737.0,1350.1584325402816,2234.2743668705516,3.103163097026645,2.4119801690258154,3.991402294110917
4527,2020-07-29,UK,1924.0,1495.5122764579746,2474.8093735514917,,,
2553,2020-07-29,Yorkshire and The Humber,198.0,84.50694733766298,460.80698093481027,3.6076690279465646,1.5422059275635784,8.409477325228329
2224,2020-07-29,Scotland,100.0,17.97526557458488,1416.295811147244,1.833355831445169,0.33054312305005207,26.04394570065361
1566,2020-07-29,South West,177.0,89.76938428906098,348.3826531069753,3.161375411252578,1.6031005804571283,6.22141321164261
3540,2020-07-29,Wales,87.0,18.000877146036668,1086.7516393419764,2.784516104954514,0.5735263924314986,34.62502088783219
908,2020-07-29,London,240.0,121.6747628652181,472.73254704049583,2.6942092723350637,1.3658919678123504,5.306783212237247
907,2020-07-30,London,207.0,100.2171731629119,426.11205683188774,2.3214356318878573,1.1250141659344128,4.7834326700878425
4197,2020-07-30,Northern Ireland,0.0,4.250720965619173e-14,589.481342703104,0.0,2.259052329176411e-15,31.328078483869863
2881,2020-07-30,East Midlands,141.0,55.05151853411342,362.1752948628685,2.944724459091167,1.145916134868286,7.538802290746363
1565,2020-07-30,South West,176.0,89.03509316332037,345.52235275522924,3.135496410496631,1.5899876184019488,6.170334002505998
249,2020-07-30,England,1697.0,1315.9193584259701,2186.8639732003594,3.030887730335852,2.3508140378673072,3.906706360224803
