,date,region,pop_mid,pop_low,pop_up,mil_mid,mil_low,mil_up
1075,2020-08-06,South West,52.0,14.376339105928803,190.5939577935418,9.357574795813678,2.5667184853163105,34.02820641984814
1904,2020-08-07,UK,1491.0,1086.45689401057,2044.432803273858,,,
78,2020-08-07,England,1293.0,942.178916133915,1772.9387086741103,23.123005980548207,16.853664774464136,31.714268012146615
1572,2020-08-07,Wales,71.0,10.829199034378757,214.96993562673853,22.709131081430698,3.4502937855322138,68.49162441419158
742,2020-08-07,Midlands,285.0,130.802397860393,620.3792693785668,27.06617962055698,12.412828086753546,58.872477457186434
576,2020-08-07,East of England,58.0,15.929949710964879,211.2111022321563,8.954128001363776,2.456039333596393,32.5639932445841
1406,2020-08-07,Scotland,127.0,19.95720230939088,370.22397498466813,23.34920755268636,3.669885127046373,68.0796555754157
1074,2020-08-07,South West,26.0,4.5709797583728005,146.2906937411446,4.622727847786864,0.8160922022897817,26.118403655370933
1738,2020-08-07,Northern Ireland,0.0,8.29634443738464e-14,767.52147703346,0.0,4.409105273320037e-14,407.9004936831454
1240,2020-08-07,North West,393.0,206.81910220722284,743.1312784135869,56.15492173682747,29.57903992375703,106.28181593576433
244,2020-08-07,South East,158.0,76.62406082224392,325.801196333303,17.886252083311113,8.66801353756618,36.85590596566904
908,2020-08-07,North East and Yorkshire,238.0,101.85824614442288,555.8732955521258,27.838888626800863,11.899066485972373,64.93704291916553
410,2020-08-07,London,283.0,143.66212171367465,557.760130817703,31.882926972267356,16.166151476793676,62.764176492438395
77,2020-08-08,England,1288.0,934.6694128879545,1773.636380354469,23.03536682293747,16.71933503288013,31.7267479397082
741,2020-08-08,Midlands,286.0,131.2285067641779,622.3366066664856,27.153868319912963,12.453264780999486,59.05822398523295
1239,2020-08-08,North West,357.0,180.99976634014504,701.0984391867859,51.0290066103659,25.886386980838907,100.27032562210515
907,2020-08-08,North East and Yorkshire,244.0,104.32395716734035,569.2171186292356,28.511920823265623,12.187110512916346,66.49586651943108
243,2020-08-08,South East,163.0,78.90885209975315,335.47714253297704,18.41918163297917,8.926478065697973,37.95048685511192
1073,2020-08-08,South West,26.0,4.640658439419662,148.50533606662012,4.693180643966679,0.8285324735826092,26.513800797388658
1903,2020-08-08,UK,1484.0,1076.901714849165,2043.5375686692796,,,
1571,2020-08-08,Wales,75.0,12.245421976579374,222.55322936919805,23.838083217619147,3.901516927787744,70.90773951101548
409,2020-08-08,London,290.0,147.10379644551315,571.045080339869,32.645834198520895,16.553439610820014,64.25911826118751
1737,2020-08-08,Northern Ireland,0.0,0.0,712.5694508606197,0.0,0.0,378.69615312002975
575,2020-08-08,East of England,60.0,16.543343162043396,219.30834137545318,9.298806912842133,2.5506107836105953,33.81240508456529
1405,2020-08-08,Scotland,121.0,19.86519815287453,361.08606454721695,22.320010214867764,3.652966689261788,66.39930574046394
1072,2020-08-09,South West,27.0,4.83525531965733,154.70837387476027,4.889956721756026,0.8632753525597003,27.62127688639544
906,2020-08-09,North East and Yorkshire,202.0,78.42734284098906,516.3301279348278,23.545991181269397,9.16187154312371,60.317615446626625
1238,2020-08-09,North West,318.0,154.00584964100045,652.8583102059984,45.423592139005606,22.0257467826112,93.37107557304431
574,2020-08-09,East of England,31.0,5.520233109955806,176.63243455053177,4.820971555352128,0.8510955712145433,27.232741767313478
740,2020-08-09,Midlands,243.0,103.84589015591969,567.0177368340961,23.057839272109064,9.85472134384808,53.808598348279176
1736,2020-08-09,Northern Ireland,0.0,0.0,708.8748846048047,0.0,0.0,376.73267008432794
242,2020-08-09,South East,72.0,24.354728268197654,210.15471651033582,8.09943515359211,2.755102145032735,23.773523722801144
1902,2020-08-09,UK,1118.0,768.6227875985647,1625.5578333072704,,,
408,2020-08-09,London,227.0,104.04589236919149,493.7996691060996,25.532598421457706,11.708177747303974,55.56677121802485
1570,2020-08-09,Wales,54.0,9.341714920944709,228.82991556427442,17.239342287919577,2.9763661038665292,72.9075560536662
1404,2020-08-09,Scotland,95.0,16.97475735900441,388.1167866908451,17.466351882911635,3.1214500209640152,71.36992454917069
76,2020-08-09,England,969.0,666.1855824534966,1408.9137213548702,17.33313769414307,11.916705300860865,25.20260127799628
1071,2020-08-10,South West,28.0,4.8642301477461025,155.61933231458087,4.919243902198085,0.8684484516579015,27.783917308940715
905,2020-08-10,North East and Yorkshire,250.0,106.89473205590184,583.0722330868776,29.213185956941388,12.487428086381028,68.11441910935574
241,2020-08-10,South East,71.0,24.153631691899133,208.4054856739701,8.032502268590209,2.7323533135689795,23.575643887051896
407,2020-08-10,London,225.0,103.00447894975412,488.81116217686883,25.276624411685226,11.590988561401899,55.005419640455166
75,2020-08-10,England,995.0,688.9595618453754,1437.6799280105583,17.806033172738314,12.324085478530568,25.717170215494157
1901,2020-08-10,UK,1150.0,796.2849207258109,1661.6401178011479,,,
1403,2020-08-10,Scotland,96.0,19.544811356258784,298.4213401357552,17.695426324512948,3.5940514805279022,54.876030256110624
1237,2020-08-10,North West,267.0,122.53721506707019,580.4344989263077,38.20504541441727,17.525137368516678,83.01310195063584
1735,2020-08-10,Northern Ireland,0.0,0.0,706.2893726586901,0.0,0.0,375.35859570230537
739,2020-08-10,Midlands,193.0,74.94786438419511,493.81144092727754,18.280671633025573,7.112369278300763,46.86149966489561
573,2020-08-10,East of England,92.0,31.29322003208975,269.60795766216654,14.181370735835701,4.82470947292424,41.56747263383322
1569,2020-08-10,Wales,59.0,12.071052650410216,184.2737627850042,18.93513506745454,3.8459610736050895,58.71150918505686
74,2020-08-11,England,1073.0,752.0366999484756,1530.887415372405,19.19699844985379,13.452407204179467,27.3844626156601
1402,2020-08-11,Scotland,97.0,19.22493879950852,298.15377327867765,17.794191059349643,3.5352308342083676,54.82682798747313
738,2020-08-11,Midlands,237.0,101.33268334992306,553.2480388723778,22.499512647167492,9.616224156184968,52.50188764265621
1900,2020-08-11,UK,1234.0,864.8772485893933,1760.591864463698,,,
904,2020-08-11,North East and Yorkshire,248.0,105.94903595497911,577.9041048148957,28.95466206584651,12.376951996262127,67.51067906626533
1070,2020-08-11,South West,28.0,4.8941428612585725,156.55854448527305,4.949477893709226,0.8737889986603553,27.95160208754722
240,2020-08-11,South East,73.0,24.674836803241146,212.8781440231388,8.205735635720066,2.7913140748818246,24.08160849795187
572,2020-08-11,East of England,93.0,31.613786666484838,272.3215107781785,14.326379929272123,4.8741336253790974,41.98584138625565
406,2020-08-11,London,265.0,128.48969260085755,545.6242987367943,29.828082903111596,14.458813562088713,61.39854373290058
1734,2020-08-11,Northern Ireland,0.0,4.115001054038314e-14,661.8442748669477,0.0,2.1869237691386678e-14,351.7381787191633
1568,2020-08-11,Wales,64.0,13.201284291424146,190.53032215395416,20.42427267633284,4.2060644565812755,60.70491311465227
