date,region,active_cases
2021-08-30,Northern Ireland,31651.342125733132
2021-08-30,Scotland,48000.915684068474
2021-08-30,South East,94300.62549556467
2021-08-30,South West,64952.83421290424
2021-08-30,Wales,29962.779752063605
2021-08-30,West Midlands,56325.645931775856
2021-08-30,Yorkshire and The Humber,77298.47339830949
2021-08-31,East Midlands,51643.65630979027
2021-08-31,East of England,60916.57588057906
2021-08-31,London,99026.69686961114
2021-08-31,North East,24001.647051094194
2021-08-31,North West,88453.54159481601
2021-08-31,Northern Ireland,32235.634588173474
2021-08-31,Scotland,50268.97604072209
2021-08-31,South East,94146.47654342832
2021-08-31,South West,65265.93267078491
2021-08-31,Wales,30939.408068929268
2021-08-31,West Midlands,61737.378192721444
2021-08-31,Yorkshire and The Humber,79110.8193619541
2021-09-01,East Midlands,50356.36779847098
2021-09-01,East of England,60610.26199063689
2021-09-01,London,97512.02722641786
2021-09-01,North East,26731.96514534735
2021-09-01,North West,88852.07566021892
2021-09-01,Northern Ireland,32594.51137131712
2021-09-01,Scotland,52530.49555683915
2021-09-01,South East,93959.35689618337
2021-09-01,South West,65332.001808433
2021-09-01,Wales,31891.475200495486
2021-09-01,West Midlands,63647.62143062854
2021-09-01,Yorkshire and The Humber,76253.83102477653
2021-09-02,East Midlands,51698.40511732889
2021-09-02,East of England,60171.104223702896
2021-09-02,London,95900.93443455776
2021-09-02,North East,29267.288243752973
2021-09-02,North West,88798.83795832832
2021-09-02,Northern Ireland,32662.092813605166
2021-09-02,Scotland,55017.0805076978
2021-09-02,South East,93471.6012540354
2021-09-02,South West,65134.31672744741
2021-09-02,Wales,32861.101242274046
2021-09-02,West Midlands,62715.971433693245
2021-09-02,Yorkshire and The Humber,73776.68720855915
2021-09-03,East Midlands,53283.50820780275
2021-09-03,East of England,59892.94072118064
2021-09-03,London,94541.54867701585
2021-09-03,North East,31858.086778242032
2021-09-03,North West,88661.09993571888
2021-09-03,Northern Ireland,32317.426783287585
2021-09-03,Scotland,57672.006952713826
2021-09-03,South East,93227.58863383903
2021-09-03,South West,64772.23194224589
2021-09-03,Wales,33643.814187005235
2021-09-03,West Midlands,61643.58225214641
2021-09-03,Yorkshire and The Humber,71418.20715951455
2021-09-04,East Midlands,57280.60913616815
2021-09-04,East of England,59683.74082593523
2021-09-04,London,93426.99583052874
2021-09-04,North East,31648.174309185553
2021-09-04,North West,88550.32019490063
2021-09-04,Northern Ireland,31762.706511784956
2021-09-04,Scotland,60271.17776895983
2021-09-04,South East,93029.50233867425
2021-09-04,South West,64238.04478965385
2021-09-04,Wales,34478.75121832826
2021-09-04,West Midlands,58000.53726343323
2021-09-04,Yorkshire and The Humber,71720.68389918047
2021-09-05,East Midlands,54231.66772564782
2021-09-05,East of England,59543.03309538996
2021-09-05,London,92378.42294545149
2021-09-05,North East,31392.169158318466
2021-09-05,North West,88711.37581015594
2021-09-05,Northern Ireland,30690.105798107616
2021-09-05,Scotland,62875.05464599542
2021-09-05,South East,92872.96867097488
2021-09-05,South West,63617.466059071616
2021-09-05,Wales,35356.96338526847
2021-09-05,West Midlands,61510.28224628237
2021-09-05,Yorkshire and The Humber,72160.30699284782
2021-09-06,East Midlands,60941.48631873018
2021-09-06,East of England,59553.23549956553
2021-09-06,London,91306.3366969537
2021-09-06,North East,31315.44158898793
2021-09-06,North West,88859.01475952959
2021-09-06,Northern Ireland,29621.882816032143
2021-09-06,Scotland,65457.68180575394
2021-09-06,South East,92732.0255752713
2021-09-06,South West,62921.09916046197
2021-09-06,Wales,36426.368298045534
2021-09-06,West Midlands,55185.004764906036
2021-09-06,Yorkshire and The Humber,72656.42337921282
2021-09-07,East Midlands,63211.330482465484
2021-09-07,East of England,59445.01612843755
2021-09-07,London,90432.06300000701
2021-09-07,North East,30219.288971257898
2021-09-07,North West,89049.39575354464
2021-09-07,Northern Ireland,28544.473150099355
2021-09-07,Scotland,68014.27725261817
2021-09-07,South East,92664.30748670682
2021-09-07,South West,62110.13466976775
2021-09-07,Wales,37458.76678372879
2021-09-07,West Midlands,53369.89530840705
2021-09-07,Yorkshire and The Humber,73991.59743072453
2021-09-08,East Midlands,65266.598387104576
2021-09-08,East of England,59362.595177096904
2021-09-08,London,89556.55638602335
2021-09-08,North East,30137.656074636667
2021-09-08,North West,89334.86734536703
