date,region,active_cases
2021-11-24,North East,45033.87195575089
2021-11-24,North West,107421.55264856361
2021-11-24,Northern Ireland,36462.636609194036
2021-11-24,Scotland,66448.92766523153
2021-11-24,South East,146856.1872101249
2021-11-24,South West,87280.5070098328
2021-11-24,Wales,61834.368913400765
2021-11-24,West Midlands,92499.6463270585
2021-11-24,Yorkshire and The Humber,87014.32481545424
2021-11-25,East Midlands,81269.68169926494
2021-11-25,East of England,103083.46563765733
2021-11-25,London,116322.88846246722
2021-11-25,North East,44081.53815614973
2021-11-25,North West,107008.95053940293
2021-11-25,Northern Ireland,37321.290541008195
2021-11-25,Scotland,66484.24597984178
2021-11-25,South East,149368.73652214592
2021-11-25,South West,87641.77518627982
2021-11-25,Wales,62135.06871762725
2021-11-25,West Midlands,93945.05711833185
2021-11-25,Yorkshire and The Humber,87771.04453010962
2021-11-26,East Midlands,82015.96361286583
2021-11-26,East of England,104345.04070486601
2021-11-26,London,119205.01266624802
2021-11-26,North East,43113.359152818026
2021-11-26,North West,106850.67370877153
2021-11-26,Northern Ireland,37940.69222137291
2021-11-26,Scotland,66327.82633854145
2021-11-26,South East,151853.15827137
2021-11-26,South West,88020.22460250316
2021-11-26,Wales,62337.45084564544
2021-11-26,West Midlands,95120.78380851237
2021-11-26,Yorkshire and The Humber,88716.73796413814
2021-11-27,East Midlands,82943.4000339305
2021-11-27,East of England,105463.68156631297
2021-11-27,London,122088.81066433471
2021-11-27,North East,42168.05679491971
2021-11-27,North West,106277.26590413577
2021-11-27,Northern Ireland,38523.04051391622
2021-11-27,Scotland,66089.09855041612
2021-11-27,South East,153977.75738914427
2021-11-27,South West,88410.82918686763
2021-11-27,Wales,62465.529726790635
2021-11-27,West Midlands,96333.97678366546
2021-11-27,Yorkshire and The Humber,89519.66418939442
2021-11-28,East Midlands,83638.08091978915
2021-11-28,East of England,106314.56830042826
2021-11-28,London,124750.88417092912
2021-11-28,North East,41397.89746153491
2021-11-28,North West,105759.04347337101
2021-11-28,Northern Ireland,39019.80966630169
2021-11-28,Scotland,65943.76467815167
2021-11-28,South East,155852.04146764506
2021-11-28,South West,88755.34977335266
2021-11-28,Wales,62550.13987551819
2021-11-28,West Midlands,97684.81062170002
2021-11-28,Yorkshire and The Humber,90257.76519708737
2021-11-29,East Midlands,84303.43855295081
2021-11-29,East of England,106983.7054533012
2021-11-29,London,127306.92500595386
2021-11-29,North East,40941.27291064085
2021-11-29,North West,104963.78120254164
2021-11-29,Northern Ireland,39282.06714396657
2021-11-29,Scotland,65678.04997651537
2021-11-29,South East,157660.6503201647
2021-11-29,South West,88893.42906767708
2021-11-29,Wales,62585.88193546885
2021-11-29,West Midlands,99034.85591864717
2021-11-29,Yorkshire and The Humber,90562.95848022212
2021-11-30,East Midlands,84514.74405141723
2021-11-30,East of England,107559.14209208674
2021-11-30,London,129879.80105068802
2021-11-30,North East,40624.702737467465
2021-11-30,North West,104130.71934119618
2021-11-30,Northern Ireland,39355.07636302904
2021-11-30,Scotland,65617.02345441074
2021-11-30,South East,159395.06506228205
2021-11-30,South West,89198.07655026608
2021-11-30,Wales,63169.59565759878
2021-11-30,West Midlands,99872.68070878448
2021-11-30,Yorkshire and The Humber,90233.7782585727
2021-12-01,East Midlands,84428.03037700724
2021-12-01,East of England,108042.23040487219
2021-12-01,London,131852.87430024546
2021-12-01,North East,40389.716950264
2021-12-01,North West,103625.27205594
2021-12-01,Northern Ireland,39270.352843793895
2021-12-01,Scotland,65594.46211337707
2021-12-01,South East,161363.3972074351
2021-12-01,South West,89598.52105880342
2021-12-01,Wales,63727.78307293455
2021-12-01,West Midlands,100541.0279401111
2021-12-01,Yorkshire and The Humber,89791.16717377571
2021-12-02,East Midlands,84386.5155800956
2021-12-02,East of England,108532.61295524506
2021-12-02,London,133962.60131340125
2021-12-02,North East,40274.41858697484
2021-12-02,North West,103284.08759186478
2021-12-02,Northern Ireland,39123.84614101782
2021-12-02,Scotland,65573.84032998457
2021-12-02,South East,163598.0944485209
2021-12-02,South West,89869.20495346365
